Ticker,Type,Entry Date,Exit Date,Exit Reason,Entry Price,Exit Price,Qty,Gross P/L,Brokerage,Net P/L,Return %,Cumulative P/L,Equity
^NSEI,LONG,2024-10-14 03:45,2024-10-15 03:45,T3 Cross Down,25100.15,25055.3,19,-852.14,1429.43,-2281.57,-0.48,-221109.51000000013,1778890.4899999998
^NSEI,SHORT,2024-10-15 03:45,2024-10-18 05:45,T3 Cross Up,25055.3,24785.5,19,5126.21,1420.46,3705.75,0.78,-217403.76000000013,1782596.2399999998
^NSEI,LONG,2024-10-18 05:45,2024-10-21 05:45,T3 Cross Down,24785.5,24720.95,20,-1291.02,1485.19,-2776.21,-0.56,-220179.97000000012,1779820.0299999998
^NSEI,SHORT,2024-10-21 05:45,2024-10-21 07:45,T3 Cross Up,24720.95,24819.7,20,-1975.0,1486.22,-3461.22,-0.7,-223641.19000000012,1776358.8099999998
^NSEI,LONG,2024-10-21 07:45,2024-10-21 09:45,T3 Cross Down,24819.7,24739.45,20,-1605.0,1486.77,-3091.77,-0.62,-226732.9600000001,1773267.0399999998
^NSEI,SHORT,2024-10-21 09:45,2024-10-24 09:45,T3 Cross Up,24739.45,24412.85,20,6531.99,1474.57,5057.42,1.02,-221675.5400000001,1778324.46
^NSEI,LONG,2024-10-24 09:45,2024-10-25 03:45,T3 Cross Down,24412.85,24237.75,20,-3501.99,1459.52,-4961.51,-1.02,-226637.0500000001,1773362.95
^NSEI,SHORT,2024-10-25 03:45,2024-10-25 09:45,T3 Cross Up,24237.75,24210.85,20,538.01,1453.46,-915.45,-0.19,-227552.50000000012,1772447.5
^NSEI,LONG,2024-10-25 09:45,2024-10-29 03:45,T3 Cross Down,24210.85,24225.15,20,286.02,1453.08,-1167.06,-0.24,-228719.5600000001,1771280.44
^NSEI,SHORT,2024-10-29 03:45,2024-10-29 06:45,T3 Cross Up,24225.15,24323.3,20,-1963.01,1456.45,-3419.46,-0.71,-232139.0200000001,1767860.98
^NSEI,LONG,2024-10-29 06:45,2024-10-30 07:45,T3 Cross Down,24323.3,24324.55,20,25.0,1459.44,-1434.44,-0.29,-233573.4600000001,1766426.5399999998
^NSEI,SHORT,2024-10-30 07:45,2024-11-04 09:45,T3 Cross Up,24324.55,23990.95,20,6672.03,1449.46,5222.57,1.07,-228350.8900000001,1771649.1099999999
^NSEI,LONG,2024-11-04 09:45,2024-11-05 05:45,T3 Cross Down,23990.95,23874.55,20,-2327.97,1435.96,-3763.93,-0.78,-232114.8200000001,1767885.18
^NSEI,SHORT,2024-11-05 05:45,2024-11-05 07:45,T3 Cross Up,23874.55,24163.55,20,-5780.0,1441.14,-7221.14,-1.51,-239335.9600000001,1760664.0399999998
^NSEI,LONG,2024-11-05 07:45,2024-11-07 03:45,T3 Cross Down,24163.55,24221.4,20,1156.99,1451.55,-294.56,-0.06,-239630.5200000001,1760369.48
^NSEI,SHORT,2024-11-07 03:45,2024-11-11 04:45,T3 Cross Up,24221.4,24309.65,20,-1765.0,1455.93,-3220.93,-0.66,-242851.4500000001,1757148.5499999998
^NSEI,LONG,2024-11-11 04:45,2024-11-11 07:45,T3 Cross Down,24309.65,24107.5,20,-4043.01,1452.51,-5495.52,-1.13,-248346.9700000001,1751653.0299999998
^NSEI,SHORT,2024-11-11 07:45,2024-11-12 03:45,T3 Cross Up,24107.5,24164.35,20,-1136.99,1448.16,-2585.15,-0.54,-250932.12000000008,1749067.88
^NSEI,LONG,2024-11-12 03:45,2024-11-12 04:45,T3 Cross Down,24164.35,24140.5,20,-476.99,1449.15,-1926.14,-0.4,-252858.2600000001,1747141.74
^NSEI,SHORT,2024-11-12 04:45,2024-11-14 07:45,T3 Cross Up,24140.5,23548.65,20,11836.99,1430.67,10406.32,2.16,-242451.9400000001,1757548.0599999998
^NSEI,LONG,2024-11-14 07:45,2024-11-18 03:45,T3 Cross Down,23548.65,23451.7,21,-2035.97,1480.51,-3516.49,-0.71,-245968.43000000008,1754031.5699999998
^NSEI,SHORT,2024-11-18 03:45,2024-11-18 05:45,T3 Cross Up,23451.7,23477.7,21,-546.0,1478.28,-2024.28,-0.41,-247992.71000000008,1752007.29
